id,title,authors,published_date,query,collected_at
27,Writing Bestsellers,"[""Kim Wilkins"", ""Lisa Bennett""]",2021-10-21,nyt bestseller,2025-05-28T10:39:22.190837
30,Bestseller Book Launch Plan,"[""Dale L. Roberts""]",2025-03-01,nyt bestseller,2025-05-28T10:39:22.190837
31,7 FIGURE FICTION,"[""T. Taylor""]",2021-09-04,new release fiction,2025-05-28T10:39:24.742716
34,The Heart Of An Eye,"[""Iulia C. Bocaneala""]",2020-08-26,new release fiction,2025-05-28T10:39:24.742716
36,Write the Perfect Read - The Fiction Edition,"[""Kristin N. Spencer"", ""Maria Mountokalaki""]",2020-01-25,new release fiction,2025-05-28T10:39:24.742716
42,Three Award-Winning Books. Three Kinds of Help.,"[""Harriet Hodgson""]",2024-09-19,award winning books,2025-05-28T10:39:27.498820
44,Newbery Award Winning Authors,"[""N/A""]",N/A,award winning books,2025-05-28T10:39:27.498820
54,The Ancient Romances,"[""Ben E. Perry""]",2023-07-28,romance,2025-05-28T10:39:29.964537
70,Final Fantasy Tactics Series,"[""N/A""]",N/A,fantasy,2025-05-28T10:39:32.553925
79,Project Hail Mary,"[""Andy Weir""]",2022-10-04,science fiction,2025-05-28T10:39:35.117707
81,The Self-Help Compulsion,"[""Beth Blum""]",2020-01-28,self-help,2025-05-28T10:39:37.675065
85,The Plus,"[""Greg Gutfeld""]",2020-07-28,self-help,2025-05-28T10:39:37.675065
86,How to Be Fine,"[""Jolenta Greenberg"", ""Kristen Meinzer""]",2021-03-09,self-help,2025-05-28T10:39:37.675065
98,Mystery,"[""Jonah Lehrer""]",2021-08-17,mystery,2025-05-28T10:39:40.301378
103,History Is Rich,"[""Shaun S. Nichols""]",2022-04-26,history,2025-05-28T10:39:42.904993
104,U.S. History,"[""P. Scott Corbett"", ""Volker Janssen"", ""John M. Lund"", ""Todd Pfannestiel"", ""Sylvie Waskiewicz"", ""Paul Vickery""]",2024-09-10,history,2025-05-28T10:39:42.904993
106,The Television History Book,"[""Michele Hilmes"", ""Jason Jacobs""]",2021-03-11,history,2025-05-28T10:39:42.904993
107,The History Book (Miles Kelly).,"[""MAKE BELIEVE IDEAS LTD. MAKE BELIEVE IDEAS LTD"", ""Simon Adams"", ""Philip Steele"", ""Stewart Ross"", ""Richard Platt""]",2023,history,2025-05-28T10:39:42.904993
112,Legendborn,"[""Tracy Deonn""]",2022-02,young adult,2025-05-28T10:39:45.493724
119,Little Thieves,"[""Margaret Owen""]",2021-10-19,young adult,2025-05-28T10:39:45.493724
120,Jagged Little Pill: The Novel,"[""Eric Smith"", ""Alanis Morissette"", ""Diablo Cody"", ""Glen Ballard""]",2022-04-26,young adult,2025-05-28T10:39:45.493724
124,The Technology Fallacy,"[""Gerald C. Kane"", ""Anh Nguyen Phillips"", ""Jonathan R. Copulsky"", ""Garth R. Andrus""]",2022-08-23,technology,2025-05-28T10:39:48.110865
126,The Technology Trap,"[""Carl Benedikt Frey""]",2020-09-22,technology,2025-05-28T10:39:48.110865
128,Mindful Teaching with Technology,"[""Troy Hicks""]",2021-10-18,technology,2025-05-28T10:39:48.110865
130,Technology and Health,"[""Jihyun Kim""]",2020-03,technology,2025-05-28T10:39:48.110865
132,Spencer Tracy,"[""James Curtis""]",2024-11-26,biography,2025-05-28T10:39:50.643529
133,Anna,"[""Amy Odell""]",2022-05-03,biography,2025-05-28T10:39:50.643529
144,The Psychology of Money,"[""Morgan Housel""]",2020-09-08,psychology,2025-05-28T10:39:53.215681
149,Introduction to Psychology,"[""Jennifer Walinga"", ""Charles Stangor""]",N/A,psychology,2025-05-28T10:39:53.215681
151,Self Care,"[""Leigh Stein""]",2020-06-30,booktok,2025-05-28T16:39:56.416306
152,Brood,"[""Jackie Polzin""]",2021-03-09,booktok,2025-05-28T16:39:56.416306
153,Will,"[""Will Smith""]",2021-11-09,booktok,2025-05-28T16:39:56.416306
154,"Social Reading Cultures on BookTube, Bookstagram, and BookTok","[""Bronwyn Reddan"", ""Leonie Rutherford"", ""Amy Schoonens"", ""Michael Dezuanni""]",2024-04-30,booktok,2025-05-28T16:39:56.416306
155,# BookTok Journal for 25 Books,"[""BookTok BookTok Press""]",2021-10-22,booktok,2025-05-28T16:39:56.416306
156,The Reading Lives of Teens,"[""Chin Ee Loh""]",2024-11-04,booktok,2025-05-28T16:39:56.416306
157,#BookTok Journal,"[""Gold ATOM""]",2021-11-24,booktok,2025-05-28T16:39:56.416306
158,Atravesados,"[""Trevor Boffone"", ""Cristina Herrera""]",2025-02-17,booktok,2025-05-28T16:39:56.416306
159,Living Rent Free In My Head,"[""Dominique Davis""]",2022-08-02,booktok,2025-05-28T16:39:56.416306
160,BookTok Journal for 200 Books,"[""Magizh Publications""]",2021-11-23,booktok,2025-05-28T16:39:56.416306
163,An All-in-One Guide to Become a Bestseller,"[""Ukiyoto""]",2023-05-05,bestseller,2025-05-28T22:39:57.182024
165,Writing Bestsellers,"[""Kim Wilkins"", ""Lisa Bennett""]",2021-10-21,bestseller,2025-05-28T22:39:57.182024
168,"Space, Place, and Bestsellers","[""Lisa Fletcher"", ""Elizabeth Leane""]",2024-06-30,bestseller,2025-05-28T22:39:57.182024
169,Bestsellers of the Third Reich,"[""Christian Adam""]",2021-04-01,bestseller,2025-05-28T22:39:57.182024
170,Corporate Compliance and Conformity,"[""Petter Gottschalk""]",2023-03-10,bestseller,2025-05-28T22:39:57.182024
173,Next Level Basic,"[""Stassi Schroeder""]",2022-09-06,nyt bestseller,2025-05-29T04:39:58.357672
176,The Paris Apartment,"[""Lucy Foley""]",2022-02-22,nyt bestseller,2025-05-29T04:39:58.357672
179,Writing Bestsellers,"[""Kim Wilkins"", ""Lisa Bennett""]",2021-10-21,nyt bestseller,2025-05-29T04:39:58.357672
181,How Do I Feel?,"[""Rebekah Lipp"", ""Craig Phillips"", ""Nicola McCloy""]",2021,new release fiction,2025-05-29T10:39:59.579444
183,Chasing Homer,"[""L\u00e1szl\u00f3 Krasznahorkai""]",2021-11-02,new release fiction,2025-05-29T10:39:59.579444
184,The Midnight Library: A GMA Book Club Pick,"[""Matt Haig""]",2023-05-09,new release fiction,2025-05-29T10:39:59.579444
186,How High?--That High,"[""Diane Williams""]",2021-10-12,new release fiction,2025-05-29T10:39:59.579444
187,Treading on Ashes,"[""Steve Heuzinkveld""]",2021-09-16,new release fiction,2025-05-29T10:39:59.579444
188,The Leaving,"[""Jumi Bello""]",2022,new release fiction,2025-05-29T10:39:59.579444
189,7 FIGURE FICTION,"[""T. Taylor""]",2021-09-04,new release fiction,2025-05-29T10:39:59.579444
192,Three Award-Winning Books. Three Kinds of Help.,"[""Harriet Hodgson""]",2024-09-19,award winning books,2025-05-29T16:40:00.861278
194,Newbery Award Winning Authors,"[""N/A""]",N/A,award winning books,2025-05-29T16:40:00.861278
205,The Ancient Romances,"[""Ben E. Perry""]",2023-07-28,romance,2025-05-29T22:40:02.280237
225,Project Hail Mary,"[""Andy Weir""]",2022-10-04,science fiction,2025-05-30T10:40:04.415938
229,Plants in Science Fiction,"[""Katherine E. Bishop"", ""David Higgins"", ""Jerry M\u00e4\u00e4tt\u00e4""]",2020-05-01,science fiction,2025-05-30T10:40:04.415938
231,The Self-Help Compulsion,"[""Beth Blum""]",2020-01-28,self-help,2025-05-30T16:40:05.791194
237,How to Be Fine,"[""Jolenta Greenberg"", ""Kristen Meinzer""]",2021-03-09,self-help,2025-05-30T16:40:05.791194
238,The Plus,"[""Greg Gutfeld""]",2020-07-28,self-help,2025-05-30T16:40:05.791194
246,Crime Hits Home,"[""S.J. Rozan""]",2022-04-19,mystery,2025-05-30T22:40:06.640886
248,How to Write a Mystery,"[""Mystery Writers of America""]",2022-04-12,mystery,2025-05-30T22:40:06.640886
252,History Is Rich,"[""Shaun S. Nichols""]",2022-04-26,history,2025-05-31T04:40:07.694929
253,U.S. History,"[""P. Scott Corbett"", ""Volker Janssen"", ""John M. Lund"", ""Todd Pfannestiel"", ""Sylvie Waskiewicz"", ""Paul Vickery""]",2024-09-10,history,2025-05-31T04:40:07.694929
255,The Television History Book,"[""Michele Hilmes"", ""Jason Jacobs""]",2021-03-11,history,2025-05-31T04:40:07.694929
256,The History Book (Miles Kelly).,"[""MAKE BELIEVE IDEAS LTD. MAKE BELIEVE IDEAS LTD"", ""Simon Adams"", ""Philip Steele"", ""Stewart Ross"", ""Richard Platt""]",2023,history,2025-05-31T04:40:07.694929
257,Ancient History-Based Writing Lessons [Student Book] (Sixth Edition),"[""Lori Verstegen""]",2021,history,2025-05-31T04:40:07.694929
261,Legendborn,"[""Tracy Deonn""]",2022-02,young adult,2025-05-31T10:40:08.940500
268,Little Thieves,"[""Margaret Owen""]",2021-10-19,young adult,2025-05-31T10:40:08.940500
270,Jagged Little Pill: The Novel,"[""Eric Smith"", ""Alanis Morissette"", ""Diablo Cody"", ""Glen Ballard""]",2022-04-26,young adult,2025-05-31T10:40:08.940500
276,The Technology Fallacy,"[""Gerald C. Kane"", ""Anh Nguyen Phillips"", ""Jonathan R. Copulsky"", ""Garth R. Andrus""]",2022-08-23,technology,2025-05-31T16:40:10.137446
277,The Technology Trap,"[""Carl Benedikt Frey""]",2020-09-22,technology,2025-05-31T16:40:10.137446
278,Technology and the Historian,"[""Adam Crymble""]",2021-04-13,technology,2025-05-31T16:40:10.137446
279,Technology and Health,"[""Jihyun Kim""]",2020-03,technology,2025-05-31T16:40:10.137446
283,Spencer Tracy,"[""James Curtis""]",2024-11-26,biography,2025-05-31T22:40:11.288484
286,Life and Times of Little Richard,"[""CHARLES. WHITE""]",2024-05-07,biography,2025-05-31T22:40:11.288484
296,The Psychology of Money,"[""Morgan Housel""]",2020-09-08,psychology,2025-06-01T04:40:12.519078
298,Introduction to Psychology,"[""Jennifer Walinga"", ""Charles Stangor""]",N/A,psychology,2025-06-01T04:40:12.519078
301,Self Care,"[""Leigh Stein""]",2020-06-30,booktok,2025-06-01T10:40:13.860223
303,Will,"[""Will Smith""]",2021-11-09,booktok,2025-06-01T10:40:13.860223
304,From Blood and Ash,"[""Jennifer L. Armentrout""]",2020-03-30,booktok,2025-06-01T10:40:13.860223
305,"Social Reading Cultures on BookTube, Bookstagram, and BookTok","[""Bronwyn Reddan"", ""Leonie Rutherford"", ""Amy Schoonens"", ""Michael Dezuanni""]",2024-04-30,booktok,2025-06-01T10:40:13.860223
306,# BookTok Journal for 25 Books,"[""BookTok BookTok Press""]",2021-10-22,booktok,2025-06-01T10:40:13.860223
307,The Reading Lives of Teens,"[""Chin Ee Loh""]",2024-11-04,booktok,2025-06-01T10:40:13.860223
308,#BookTok Journal,"[""Gold ATOM""]",2021-11-24,booktok,2025-06-01T10:40:13.860223
309,Atravesados,"[""Trevor Boffone"", ""Cristina Herrera""]",2025-02-17,booktok,2025-06-01T10:40:13.860223
310,BookTok Journal for 200 Books,"[""Magizh Publications""]",2021-11-23,booktok,2025-06-01T10:40:13.860223
313,An All-in-One Guide to Become a Bestseller,"[""Ukiyoto""]",2023-05-05,bestseller,2025-06-01T16:40:15.098573
315,Writing Bestsellers,"[""Kim Wilkins"", ""Lisa Bennett""]",2021-10-21,bestseller,2025-06-01T16:40:15.098573
318,Bestsellers: Popular Fiction Since 1900,"[""Clive Bloom""]",2022-01-03,bestseller,2025-06-01T16:40:15.098573
319,"Space, Place, and Bestsellers","[""Lisa Fletcher"", ""Elizabeth Leane""]",2024-06-30,bestseller,2025-06-01T16:40:15.098573
320,Bestsellers of the Third Reich,"[""Christian Adam""]",2021-04-01,bestseller,2025-06-01T16:40:15.098573
322,Recursion,"[""Blake Crouch""]",2020-03-10,nyt bestseller,2025-06-01T22:40:16.650092
325,Allow Me to Retort,"[""Elie Mystal""]",2023-05-09,nyt bestseller,2025-06-01T22:40:16.650092
326,Daddy's Girls,"[""Danielle Steel""]",2020,nyt bestseller,2025-06-01T22:40:16.650092
327,Hillbilly Elegy,"[""J D Vance""]",2024-10,nyt bestseller,2025-06-01T22:40:16.650092
329,Writing Bestsellers,"[""Kim Wilkins"", ""Lisa Bennett""]",2021-10-21,nyt bestseller,2025-06-01T22:40:16.650092
331,How Do I Feel?,"[""Rebekah Lipp"", ""Craig Phillips"", ""Nicola McCloy""]",2021,new release fiction,2025-06-02T04:40:17.671114
332,Chasing Homer,"[""L\u00e1szl\u00f3 Krasznahorkai""]",2021-11-02,new release fiction,2025-06-02T04:40:17.671114
333,How High?--That High,"[""Diane Williams""]",2021-10-12,new release fiction,2025-06-02T04:40:17.671114
336,The Leaving,"[""Jumi Bello""]",2022,new release fiction,2025-06-02T04:40:17.671114
337,Treading on Ashes,"[""Steve Heuzinkveld""]",2021-09-16,new release fiction,2025-06-02T04:40:17.671114
338,I Love You But I've Chosen Darkness,"[""Claire Vaye Watkins""]",2021-10-05,new release fiction,2025-06-02T04:40:17.671114
339,7 FIGURE FICTION,"[""T. Taylor""]",2021-09-04,new release fiction,2025-06-02T04:40:17.671114
342,Three Award-Winning Books. Three Kinds of Help.,"[""Harriet Hodgson""]",2024-09-19,award winning books,2025-06-02T10:40:18.998360
344,Newbery Award Winning Authors,"[""N/A""]",N/A,award winning books,2025-06-02T10:40:18.998360
355,The Ancient Romances,"[""Ben E. Perry""]",2023-07-28,romance,2025-06-02T16:40:20.567620
368,Final Fantasy Tactics Series,"[""N/A""]",N/A,fantasy,2025-06-02T22:40:21.107140
372,Project Hail Mary,"[""Andy Weir""]",2022-10-04,science fiction,2025-06-03T04:40:22.015085
380,Plants in Science Fiction,"[""Katherine E. Bishop"", ""David Higgins"", ""Jerry M\u00e4\u00e4tt\u00e4""]",2020-05-01,science fiction,2025-06-03T04:40:22.015085
381,The Self-Help Compulsion,"[""Beth Blum""]",2020-01-28,self-help,2025-06-03T10:40:23.426856
384,The Plus,"[""Greg Gutfeld""]",2020-07-28,self-help,2025-06-03T10:40:23.426856
385,How to Be Fine,"[""Jolenta Greenberg"", ""Kristen Meinzer""]",2020-03-17,self-help,2025-06-03T10:40:23.426856
396,How to Write a Mystery,"[""Mystery Writers of America""]",2022-04-12,mystery,2025-06-03T16:40:24.466983
403,U.S. History,"[""P. Scott Corbett"", ""Volker Janssen"", ""John M. Lund"", ""Todd Pfannestiel"", ""Sylvie Waskiewicz"", ""Paul Vickery""]",2024-09-10,history,2025-06-03T22:40:25.583311
404,History Is Rich,"[""Shaun S. Nichols""]",2022-04-26,history,2025-06-03T22:40:25.583311
406,The Television History Book,"[""Michele Hilmes"", ""Jason Jacobs""]",2021-03-11,history,2025-06-03T22:40:25.583311
407,The History Book (Miles Kelly).,"[""MAKE BELIEVE IDEAS LTD. MAKE BELIEVE IDEAS LTD"", ""Simon Adams"", ""Philip Steele"", ""Stewart Ross"", ""Richard Platt""]",2023,history,2025-06-03T22:40:25.583311
409,Ancient History-Based Writing Lessons [Student Book] (Sixth Edition),"[""Lori Verstegen""]",2021,history,2025-06-03T22:40:25.583311
411,Legendborn,"[""Tracy Deonn""]",2022-02,young adult,2025-06-04T04:40:27.099629
417,Adaptation in Young Adult Novels,"[""Dana E. Lawrence"", ""Amy L. Montz""]",2020-09-03,young adult,2025-06-04T04:40:27.099629
425,The Technology Fallacy,"[""Gerald C. Kane"", ""Anh Nguyen Phillips"", ""Jonathan R. Copulsky"", ""Garth R. Andrus""]",2022-08-23,technology,2025-06-04T08:42:45.748209
428,The Technology Trap,"[""Carl Benedikt Frey""]",2020-09-22,technology,2025-06-04T08:42:45.748209
430,Technology and Health,"[""Jihyun Kim""]",2020-03,technology,2025-06-04T08:42:45.748209
432,Spencer Tracy,"[""James Curtis""]",2024-11-26,biography,2025-06-04T08:42:48.330132
436,Life and Times of Little Richard,"[""CHARLES. WHITE""]",2024-05-07,biography,2025-06-04T08:42:48.330132
445,The Psychology of Money,"[""Morgan Housel""]",2020-09-08,psychology,2025-06-04T08:42:50.842073
451,Self Care,"[""Leigh Stein""]",2020-06-30,booktok,2025-06-04T08:42:53.381786
452,Brood,"[""Jackie Polzin""]",2021-03-09,booktok,2025-06-04T08:42:53.381786
453,Will,"[""Will Smith""]",2021-11-09,booktok,2025-06-04T08:42:53.381786
455,The Big One - the #BookTok Journal,"[""C. Fitzhenry""]",2021-10-20,booktok,2025-06-04T08:42:53.381786
456,"Social Reading Cultures on BookTube, Bookstagram, and BookTok","[""Bronwyn Reddan"", ""Leonie Rutherford"", ""Amy Schoonens"", ""Michael Dezuanni""]",2024-04-30,booktok,2025-06-04T08:42:53.381786
457,# BookTok Journal for 25 Books,"[""BookTok BookTok Press""]",2021-10-22,booktok,2025-06-04T08:42:53.381786
458,The Reading Lives of Teens,"[""Chin Ee Loh""]",2024-11-04,booktok,2025-06-04T08:42:53.381786
459,#BookTok Journal,"[""Gold ATOM""]",2021-11-24,booktok,2025-06-04T08:42:53.381786
460,Atravesados,"[""Trevor Boffone"", ""Cristina Herrera""]",2025-02-17,booktok,2025-06-04T08:42:53.381786
463,An All-in-One Guide to Become a Bestseller,"[""Ukiyoto""]",2023-05-05,bestseller,2025-06-04T08:42:55.852370
465,Writing Bestsellers,"[""Kim Wilkins"", ""Lisa Bennett""]",2021-10-21,bestseller,2025-06-04T08:42:55.852370
468,Bestsellers: Popular Fiction Since 1900,"[""Clive Bloom""]",2022-01-03,bestseller,2025-06-04T08:42:55.852370
469,"Space, Place, and Bestsellers","[""Lisa Fletcher"", ""Elizabeth Leane""]",2024-06-30,bestseller,2025-06-04T08:42:55.852370
470,Bestsellers of the Third Reich,"[""Christian Adam""]",2021-04-01,bestseller,2025-06-04T08:42:55.852370
473,Next Level Basic,"[""Stassi Schroeder""]",2022-09-06,nyt bestseller,2025-06-04T08:42:58.473920
475,Find Your Path,"[""Carrie Underwood""]",2020-03-03,nyt bestseller,2025-06-04T08:42:58.473920
478,Writing Bestsellers,"[""Kim Wilkins"", ""Lisa Bennett""]",2021-10-21,nyt bestseller,2025-06-04T08:42:58.473920
481,How Do I Feel?,"[""Rebekah Lipp"", ""Craig Phillips"", ""Nicola McCloy""]",2021,new release fiction,2025-06-04T08:43:01.099096
483,Chasing Homer,"[""L\u00e1szl\u00f3 Krasznahorkai""]",2021-11-02,new release fiction,2025-06-04T08:43:01.099096
484,How High?--That High,"[""Diane Williams""]",2021-10-12,new release fiction,2025-06-04T08:43:01.099096
485,Booth,"[""Karen Joy Fowler""]",2023-02-07,new release fiction,2025-06-04T08:43:01.099096
486,Vagabonds!,"[""Eloghosa Osunde""]",2023-02-28,new release fiction,2025-06-04T08:43:01.099096
487,The Leaving,"[""Jumi Bello""]",2022,new release fiction,2025-06-04T08:43:01.099096
488,Treading on Ashes,"[""Steve Heuzinkveld""]",2021-09-16,new release fiction,2025-06-04T08:43:01.099096
489,Woman on Fire,"[""Lisa Barr""]",2022-03-25,new release fiction,2025-06-04T08:43:01.099096
490,7 FIGURE FICTION,"[""T. Taylor""]",2021-09-04,new release fiction,2025-06-04T08:43:01.099096
492,Three Award-Winning Books. Three Kinds of Help.,"[""Harriet Hodgson""]",2024-09-19,award winning books,2025-06-04T08:43:03.693777
494,Newbery Award Winning Authors,"[""N/A""]",N/A,award winning books,2025-06-04T08:43:03.693777
505,The Ancient Romances,"[""Ben E. Perry""]",2023-07-28,romance,2025-06-04T08:43:06.181181
529,Project Hail Mary,"[""Andy Weir""]",2022-10-04,science fiction,2025-06-04T08:43:11.374780
530,Science Fiction,"[""Sherryl Vint""]",2021-02-16,science fiction,2025-06-04T08:43:11.374780
531,The Self-Help Compulsion,"[""Beth Blum""]",2020-01-28,self-help,2025-06-04T08:43:13.947581
534,The Plus,"[""Greg Gutfeld""]",2020-07-28,self-help,2025-06-04T08:43:13.947581
535,How to Be Fine,"[""Jolenta Greenberg"", ""Kristen Meinzer""]",2020-03-17,self-help,2025-06-04T08:43:13.947581
543,How to Write a Mystery,"[""Mystery Writers of America""]",2022-04-12,mystery,2025-06-04T08:43:16.430925
548,Crime Hits Home,"[""S.J. Rozan""]",2022-04-19,mystery,2025-06-04T08:43:16.430925
553,U.S. History,"[""P. Scott Corbett"", ""Volker Janssen"", ""John M. Lund"", ""Todd Pfannestiel"", ""Sylvie Waskiewicz"", ""Paul Vickery""]",2024-09-10,history,2025-06-04T08:43:18.965410
554,History Is Rich,"[""Shaun S. Nichols""]",2022-04-26,history,2025-06-04T08:43:18.965410
555,The Television History Book,"[""Michele Hilmes"", ""Jason Jacobs""]",2021-03-11,history,2025-06-04T08:43:18.965410
559,Ancient History-Based Writing Lessons [Student Book] (Sixth Edition),"[""Lori Verstegen""]",2021,history,2025-06-04T08:43:18.965410
560,The History Book (Miles Kelly).,"[""MAKE BELIEVE IDEAS LTD. MAKE BELIEVE IDEAS LTD"", ""Simon Adams"", ""Philip Steele"", ""Stewart Ross"", ""Richard Platt""]",2023,history,2025-06-04T08:43:18.965410
561,Legendborn,"[""Tracy Deonn""]",2022-02,young adult,2025-06-04T08:43:21.492399
567,Adaptation in Young Adult Novels,"[""Dana E. Lawrence"", ""Amy L. Montz""]",2020-09-03,young adult,2025-06-04T08:43:21.492399
575,The Technology Fallacy,"[""Gerald C. Kane"", ""Anh Nguyen Phillips"", ""Jonathan R. Copulsky"", ""Garth R. Andrus""]",2022-08-23,technology,2025-06-06T18:55:27.415584
576,Mindful Teaching with Technology,"[""Troy Hicks""]",2021-10-18,technology,2025-06-06T18:55:27.415584
577,The Technology Trap,"[""Carl Benedikt Frey""]",2020-09-22,technology,2025-06-06T18:55:27.415584
578,Technology and Health,"[""Jihyun Kim""]",2020-03,technology,2025-06-06T18:55:27.415584
583,Spencer Tracy,"[""James Curtis""]",2024-11-26,biography,2025-06-07T00:55:28.566638
593,The Psychology of Money,"[""Morgan Housel""]",2020-09-08,psychology,2025-06-07T06:55:29.269772
599,What Is Psychology?,"[""Ellen E. Pastorino"", ""Susann M. Doyle-Portillo""]",2020-01-07,psychology,2025-06-07T06:55:29.269772
600,The Man Who Mistook His Wife for a Hat,"[""Oliver Sacks""]",2021-09-14,psychology,2025-06-07T06:55:29.269772
603,An All-in-One Guide to Become a Bestseller,"[""Ukiyoto""]",2023-05-05,bestseller,2025-06-08T07:08:19.107290
605,Writing Bestsellers,"[""Kim Wilkins"", ""Lisa Bennett""]",2021-10-21,bestseller,2025-06-08T07:08:19.107290
608,Bestsellers: Popular Fiction Since 1900,"[""Clive Bloom""]",2022-01-03,bestseller,2025-06-08T07:08:19.107290
609,"Space, Place, and Bestsellers","[""Lisa Fletcher"", ""Elizabeth Leane""]",2024-06-30,bestseller,2025-06-08T07:08:19.107290
610,Bestsellers of the Third Reich,"[""Christian Adam""]",2021-04-01,bestseller,2025-06-08T07:08:19.107290
613,Atlas of the Heart,"[""Bren\u00e9 Brown""]",2021-11-30,nyt bestseller,2025-06-08T14:51:17.355573
614,Next Level Basic,"[""Stassi Schroeder""]",2022-09-06,nyt bestseller,2025-06-08T14:51:17.355573
615,Hillbilly Elegy,"[""J D Vance""]",2024-10,nyt bestseller,2025-06-08T14:51:17.355573
618,Writing Bestsellers,"[""Kim Wilkins"", ""Lisa Bennett""]",2021-10-21,nyt bestseller,2025-06-08T14:51:17.355573
622,Three Award-Winning Books. Three Kinds of Help.,"[""Harriet Hodgson""]",2024-09-19,award winning books,2025-06-09T07:05:47.150207
624,Newbery Award Winning Authors,"[""N/A""]",N/A,award winning books,2025-06-09T07:05:47.150207
635,The Ancient Romances,"[""Ben E. Perry""]",2023-07-28,romance,2025-06-09T13:05:48.145555
649,Final Fantasy Tactics Series,"[""N/A""]",N/A,fantasy,2025-06-09T19:05:49.095432
663,The Self-Help Compulsion,"[""Beth Blum""]",2020-01-28,self-help,2025-06-10T07:15:04.412022
668,How to Be Fine,"[""Jolenta Greenberg"", ""Kristen Meinzer""]",2020-03-17,self-help,2025-06-10T07:15:04.412022
670,The Plus,"[""Greg Gutfeld""]",2020-07-28,self-help,2025-06-10T07:15:04.412022
673,The Mystery Book Mystery,"[""Wylly Folk St. John""]",2021-02-17,mystery,2025-06-10T13:15:05.398690
676,How to Write a Mystery,"[""Mystery Writers of America""]",2022-04-12,mystery,2025-06-10T13:15:05.398690
678,Crime Hits Home,"[""S.J. Rozan""]",2022-04-19,mystery,2025-06-10T13:15:05.398690
682,U.S. History,"[""P. Scott Corbett"", ""Volker Janssen"", ""John M. Lund"", ""Todd Pfannestiel"", ""Sylvie Waskiewicz"", ""Paul Vickery""]",2024-09-10,history,2025-06-10T19:15:06.319747
683,History Is Rich,"[""Shaun S. Nichols""]",2022-04-26,history,2025-06-10T19:15:06.319747
688,The Television History Book,"[""Michele Hilmes"", ""Jason Jacobs""]",2021-03-11,history,2025-06-10T19:15:06.319747
694,Spencer Tracy,"[""James Curtis""]",2024-11-26,biography,2025-06-11T22:21:14.738084
711,Self Care,"[""Leigh Stein""]",2020-06-30,booktok,2025-06-15T04:20:11.811200
712,Brood,"[""Jackie Polzin""]",2021-03-09,booktok,2025-06-15T04:20:11.811200
714,The Big One - the #BookTok Journal,"[""C. Fitzhenry""]",2021-10-20,booktok,2025-06-15T04:20:11.811200
715,"Social Reading Cultures on BookTube, Bookstagram, and BookTok","[""Bronwyn Reddan"", ""Leonie Rutherford"", ""Amy Schoonens"", ""Michael Dezuanni""]",2024-04-30,booktok,2025-06-15T04:20:11.811200
716,# BookTok Journal for 25 Books,"[""BookTok BookTok Press""]",2021-10-22,booktok,2025-06-15T04:20:11.811200
717,The Reading Lives of Teens,"[""Chin Ee Loh""]",2024-11-04,booktok,2025-06-15T04:20:11.811200
718,#BookTok Journal,"[""Gold ATOM""]",2021-11-24,booktok,2025-06-15T04:20:11.811200
719,Atravesados,"[""Trevor Boffone"", ""Cristina Herrera""]",2025-02-17,booktok,2025-06-15T04:20:11.811200
720,BookTok Journal for 200 Books,"[""Magizh Publications""]",2021-11-23,booktok,2025-06-15T04:20:11.811200
